Id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,etiqueta
1,c,c,c,c,a,c,c,c,c,c,c,a,a,b,a,b,a,b,b,c,cinestecico
2,c,c,b,b,b,c,c,b,c,b,b,a,c,b,a,c,a,b,c,c,cinestecico
3,b,a,b,c,b,c,a,a,b,a,c,a,a,a,a,c,a,c,b,a,visual
4,a,c,a,c,b,a,a,a,c,c,c,c,a,a,c,b,a,a,a,c,visual
5,a,c,a,c,b,a,b,a,c,c,c,a,b,b,a,c,a,b,a,a,visual
6,b,c,a,a,b,b,a,b,c,c,a,a,c,c,c,c,a,a,a,c,visual
7,b,c,a,c,a,c,a,c,c,c,c,a,a,a,b,c,b,c,c,c,cinestecico
8,a,c,b,a,b,c,a,a,b,c,c,c,a,c,c,c,a,a,a,a,visual
9,a,c,b,c,b,a,a,b,c,b,c,c,a,a,c,c,c,a,a,c,cinestecico
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
11,a,c,a,c,b,a,a,c,b,c,a,c,a,a,c,a,a,a,b,c,visual
12,c,a,a,c,a,a,a,b,c,a,a,a,a,c,a,c,a,a,b,a,visual
13,a,a,b,c,a,a,a,b,b,c,c,c,a,c,c,b,a,a,b,c,visual
14,c,c,a,c,b,a,a,a,b,c,c,c,c,c,c,b,a,b,a,c,cinestecico
15,c,a,c,c,a,a,c,b,b,a,a,a,c,a,c,c,a,a,b,a,visual
16,a,c,a,c,b,b,c,a,b,c,c,a,c,b,c,c,a,b,a,c,cinestecico
17,c,c,a,a,b,a,b,a,c,c,a,c,c,b,c,b,a,c,a,c,cinestecico
18,a,c,a,c,b,c,a,a,c,c,c,a,a,c,b,c,a,c,c,a,cinestecico
19,a,c,c,c,b,c,a,c,c,c,c,c,c,b,c,b,c,c,c,a,cinestecico
20,a,c,a,c,b,c,a,b,c,c,c,a,c,b,a,c,a,c,b,a,cinestecico
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
22,a,a,b,b,b,a,a,b,b,c,c,c,c,c,a,b,a,a,a,b,visual
23,c,c,c,c,a,c,a,a,c,c,a,a,a,c,c,b,a,a,a,c,cinestecico
24,b,a,b,c,a,a,a,a,c,a,a,a,a,b,b,a,a,b,a,a,visual
25,c,c,b,c,b,a,a,b,c,c,c,a,a,c,c,c,a,c,b,c,cinestecico
26,c,a,a,c,a,c,b,a,c,c,a,c,a,c,a,c,c,b,c,c,cinestecico
27,a,c,b,c,b,a,a,b,c,c,c,b,c,c,c,c,b,a,b,c,cinestecico
28,b,c,c,c,b,c,a,a,c,c,c,a,c,c,c,b,a,b,b,a,cinestecico
29,c,c,c,c,b,c,c,a,c,c,c,c,c,c,c,c,b,a,b,a,cinestecico
30,c,c,c,c,c,a,a,b,c,a,c,a,b,c,a,c,a,a,b,c,cinestecico
31,a,c,a,b,a,c,c,b,c,b,c,c,a,c,c,c,a,a,a,a,cinestecico
32,a,c,a,c,c,c,a,a,c,c,a,a,b,c,a,b,a,b,c,a,visual
33,b,c,c,c,b,b,a,b,a,c,a,c,c,b,b,c,b,c,c,a,cinestecico
34,a,c,a,a,a,a,a,b,b,c,c,c,a,b,a,b,a,a,a,c,visual
35,c,a,a,c,b,b,a,a,c,c,c,a,c,b,b,c,a,a,b,a,visual
36,b,b,b,b,b,a,a,a,c,b,a,c,a,b,c,a,a,a,b,a,visual
37,b,c,a,c,b,c,c,c,b,c,a,c,a,b,c,c,b,c,c,a,cinestecico
38,a,a,a,c,b,a,a,b,c,c,c,a,a,a,c,b,a,a,a,a,visual
39,c,c,a,c,b,c,c,b,c,c,c,c,b,c,c,c,a,c,c,b,cinestecico
40,c,c,a,b,a,a,a,b,c,c,c,c,c,c,b,a,a,c,b,a,cinestecico
41,b,c,c,c,c,c,c,b,c,c,a,c,c,b,c,c,c,c,c,a,cinestecico
42,b,c,b,c,b,c,a,a,c,c,a,c,c,c,c,b,a,c,b,a,cinestecico
43,b,b,c,c,b,c,c,b,c,c,c,a,a,c,c,b,c,a,c,c,cinestecico
44,a,c,c,c,b,a,b,c,c,a,a,c,c,b,c,b,a,c,b,c,cinestecico
45,a,a,a,c,b,a,a,b,c,c,c,c,c,b,b,b,a,a,a,c,visual
46,c,b,c,b,a,a,b,b,c,c,c,a,c,c,a,b,a,b,c,c,cinestecico
47,b,c,b,c,b,c,a,c,c,a,a,c,c,b,c,c,a,c,c,c,cinestecico
48,b,a,c,c,b,c,a,a,b,c,c,a,a,b,c,a,b,c,b,a,visual
49,b,c,a,c,b,c,a,c,c,c,c,a,b,c,c,b,c,b,c,c,cinestecico
50,c,a,a,c,b,a,c,b,c,b,b,c,c,b,a,b,c,a,c,a,cinestecico
51,c,a,a,c,b,c,a,a,c,c,a,c,c,c,a,b,a,c,a,c,cinestecico
52,a,c,b,c,b,c,c,b,c,c,c,a,c,c,c,c,a,b,b,c,cinestecico
53,c,c,b,c,a,a,a,a,c,c,a,a,a,c,c,c,a,b,b,a,visual
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
55,c,c,a,c,c,c,a,b,c,c,b,a,c,c,b,b,a,a,c,a,cinestecico
56,a,c,b,c,a,a,b,a,c,c,b,a,c,b,c,b,a,c,b,a,visual
57,b,c,a,c,b,c,a,b,c,c,c,a,c,c,c,c,a,a,a,b,cinestecico
58,c,c,b,c,a,c,b,b,c,c,a,c,c,a,c,c,a,c,c,c,cinestecico
59,a,c,a,c,a,a,a,a,c,c,c,c,c,c,c,b,a,b,b,a,cinestecico
60,a,a,a,a,a,a,a,b,c,c,c,a,a,b,a,b,a,a,c,a,visual
61,c,c,c,c,b,c,a,c,c,c,a,a,c,b,c,b,a,c,b,c,cinestecico
62,c,a,a,c,b,c,a,b,c,b,a,a,c,b,c,c,a,a,c,a,visual
63,a,c,a,c,a,c,b,b,b,c,c,c,c,b,a,b,a,a,b,a,visual
64,a,a,a,a,a,a,a,b,c,c,c,a,a,b,a,b,a,a,c,a,visual
65,c,c,a,c,b,c,a,a,c,c,a,a,c,a,c,c,c,a,c,c,cinestecico
66,b,a,c,c,b,c,a,c,c,c,a,a,a,c,c,c,a,b,b,a,cinestecico
67,c,c,b,c,b,c,a,b,c,a,c,c,c,c,c,c,a,a,a,a,cinestecico
68,a,c,a,c,a,a,a,a,c,c,c,c,c,c,c,c,a,c,b,c,cinestecico
69,c,c,b,c,b,a,a,b,c,c,a,a,c,b,c,c,a,b,b,a,cinestecico
70,a,c,a,c,a,a,a,c,c,c,c,a,c,c,c,c,a,c,b,a,cinestecico
71,a,c,a,c,a,c,b,a,c,a,a,a,c,c,a,b,c,c,c,a,visual
72,a,c,c,c,b,c,a,b,c,c,a,c,a,b,c,c,a,a,a,c,cinestecico
73,c,a,b,c,b,a,c,b,b,c,a,a,c,a,c,b,a,a,b,a,visual
74,c,c,c,c,b,c,a,b,c,a,c,a,a,a,c,c,a,a,a,a,visual
75,b,a,c,c,b,c,a,a,c,a,b,c,c,a,c,b,b,a,c,c,cinestecico
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
77,b,a,c,c,b,c,a,a,c,c,b,c,c,a,c,b,b,a,c,c,cinestecico
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
79,a,c,b,c,b,c,b,b,c,a,c,a,c,b,c,c,a,c,a,a,cinestecico
80,c,c,a,c,b,c,c,a,c,c,c,a,c,b,c,c,a,b,b,c,cinestecico
81,b,c,a,c,b,c,c,a,c,c,c,a,c,c,c,c,a,b,a,a,cinestecico
82,b,c,b,c,b,a,a,a,c,c,c,c,c,b,a,c,a,a,a,a,visual
83,a,c,a,c,b,c,c,a,c,c,c,c,c,b,c,b,a,b,a,c,cinestecico
84,c,c,b,c,a,c,a,c,c,a,c,a,a,c,c,b,a,a,c,a,cinestecico
85,a,c,b,c,b,a,a,b,c,c,c,c,a,b,c,c,a,b,c,a,cinestecico
86,b,a,b,c,b,a,a,b,b,c,c,c,c,c,c,c,c,a,b,a,cinestecico
87,b,c,a,c,b,a,a,a,c,c,a,a,c,c,c,b,b,c,b,a,cinestecico
88,c,c,c,a,b,a,a,c,c,c,c,c,a,c,c,b,a,a,a,c,cinestecico
89,b,c,c,c,b,a,c,c,c,c,c,c,c,b,a,b,a,c,b,c,cinestecico
90,b,c,b,c,b,c,a,c,c,c,c,a,a,b,c,b,a,c,b,a,cinestecico
91,a,c,a,c,b,a,a,b,c,c,c,c,a,b,c,c,a,b,c,a,cinestecico
92,a,c,a,c,b,c,a,b,c,c,c,c,a,c,c,c,c,c,b,c,cinestecico
93,c,a,c,c,b,a,a,b,c,c,a,a,c,b,c,c,b,a,a,a,visual
94,c,c,a,c,b,a,a,a,c,b,c,a,c,b,c,c,a,c,b,a,cinestecico
95,b,c,a,c,b,c,a,a,c,a,a,c,c,b,a,b,a,c,b,c,cinestecico
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
10,c,b,b,b,c,c,b,a,b,b,c,c,c,b,a,b,b,a,b,a,auditivo
21,b,c,c,a,a,b,b,a,c,b,b,b,b,b,c,b,b,a,c,a,auditivo
54,b,c,b,c,b,b,a,b,b,b,c,a,c,b,c,c,a,b,b,a,auditivo
76,a,a,b,c,b,a,b,a,c,b,c,c,b,b,b,c,a,a,b,a,auditivo
78,b,b,b,b,b,b,a,b,c,a,c,c,b,a,c,b,a,b,b,a,auditivo
